Query 1: SQLite=11.666152s, DuckDB=0.044198s
Query 6: SQLite=2.755275s, DuckDB=0.008890s
Query 13: SQLite=42.677524s, DuckDB=0.095503s
Query 1: SQLite=11.639934s, DuckDB=0.062094s
Query 6: SQLite=2.783739s, DuckDB=0.008591s
Query 13: SQLite=42.618735s, DuckDB=0.105617s
Query 1: SQLite=11.598102s, DuckDB=0.061961s
Query 6: SQLite=2.706239s, DuckDB=0.008934s
Query 13: SQLite=42.276895s, DuckDB=0.102680s
Query 1: SQLite=11.720971s, DuckDB=0.062333s
Query 6: SQLite=2.764118s, DuckDB=0.008631s
Query 13: SQLite=41.931638s, DuckDB=0.109904s
Query 1: SQLite=11.715521s, DuckDB=0.062614s
Query 6: SQLite=2.760522s, DuckDB=0.008663s
Query 13: SQLite=42.282024s, DuckDB=0.109986s
